"investor_reference"," consumer_creditor_class","debt_amount"
"EH00102311","PMB",2107
"SS00027016","PMB",1355
"sD00212608","PMB",2142
"PO00027236","PMB",2268
"DN00027500","PMB",28313
"PM00324753","PMB",10327
"AM00027698","PMB",13076
"PV00028248","PMB",218
"HT00323719","PMB",19701
"DL00151954","PMB",4192
"WF00029007","PMB",1945
"BP00029040","PMB",1384
"AC00318978","PMB",1184
"AG00045507","PMB",8999
"GJ00225874","PMB",2106
"ES00029282","PMB",1408
"CR00217371","PMB",1292
"JR00090189","PMB",1209
"ST00029744","PMB",2106
"SB00324962","PMB",5157
"ps00029887","PMB",49
"GL00156277","PMB",58
"sm00242836","PMB",2144
"mc00230527","PMB",4156
"HS00325413","PMB",422
"jr00030228","PMB",4725
"SB00213609","PMB",1970
"AB00214665","PMB",2105
"IM00196009","PMB",14138
"CS00219175","PMB",2108
"RN00059642","PMB",788
"JW00321200","PMB",4192
"LW00050996","PMB",2108
"EL00030580","PMB",4427
"JW00084953","PMB",3946
"WF00195833","PMB",6578
"GS00179135","PMB",1228
"RC00125653","PMB",2105
"PF00030965","PMB",3252
"TH00031504","PMB",4439
"SW00115302","PMB",731
"RS00031768","PMB",2437
"AF00031779","PMB",2150
"WN00329692","PMB",3886
"JE00291951","PMB",4668
"DH00299035","PMB",451
"xg00220792","PMB",1967
"jr00032351","PMB",1485
"JE00032373","PMB",2062
"bw00087769","PMB",5988
"JD00032516","PMB",6303
"TC00032582","PMB",4669
"GA00324874","PMB",885
"MM00033077","PMB",786
"BM00033088","PMB",5012
"jw00033231","PMB",1701
"CT00170203","PMB",1970
"SC00033374","PMB",8974
"JF00033495","PMB",2088
"JD00324929","PMB",2879
"BB00198704","PMB",2137
"MW00033583","PMB",5396
"rn00325006","PMB",2214
"MK00148731","PMB",2107
"JS00130482","PMB",2106
"nk00122232","PMB",8657
"GM00034001","PMB",7646
"LB00034034","PMB",4194
"CC00115170","PMB",2213
"MJ00080916","PMB",8284
"NB00050468","PMB",2171
"DV00034243","PMB",2194
"RS00034342","PMB",4988
"GB00053251","PMB",2145
"KE00234586","PMB",23533
"FB00034540","PMB",6455
"IC00339823","PMB",418
"AN00034617","PMB",1422
"CL00034672","PMB",239
"GA00252494","PMB",2106
"DW00035398","PMB",44
"BW00035475","PMB",2595
"VP00035662","PMB",4328
"GP00035684","PMB",4232
"JT00337568","PMB",3121
"DH00035783","PMB",4006
"JR00035827","PMB",2105
"AK00035838","PMB",5718
"sE00147664","PMB",6296
"TB00193897","PMB",2141
"BP00289355","PMB",1325
"rt00150414","PMB",3328
"LW00088429","PMB",2599
"RD00036069","PMB",4562
"PS00036091","PMB",7933
"MG00203731","PMB",2136
"DD00036113","PMB",4249
"SM00033737","PMB",6303
"CD00036190","PMB",2633
"SC00186285","PMB",2141
"MG00036267","PMB",9506
"RF00257884","PMB",2193
"JC00320353","PMB",10587
"AL00036553","PMB",2224
"gc00042328","PMB",393
"OM00013310","PMB",6538
"EP00036718","PMB",33524
"GL00036729","PMB",82
"PC00036740","PMB",2474
"PS00036762","PMB",6045
"BS00037004","PMB",2081
"RT00305833","PMB",787
"SE00146894","PMB",2358
"RG00078881","PMB",970
"MS00095975","PMB",3155
"EJ00282051","PMB",2103
"AD00037708","PMB",379
"JL00037741","PMB",5141
"RW00150634","PMB",1973
"AH00037818","PMB",52
"DP00095854","PMB",395
"MB00038060","PMB",8471
"SB00038203","PMB",10572
"GN00038302","PMB",1182
"ND00038346","PMB",2279
"CC00038522","PMB",11431
"AD00038555","PMB",1974
"SE00075141","PMB",2585
"MM00333124","PMB",2106
"DW00038764","PMB",112
"RP00038885","PMB",388
"AC00038907","PMB",1970
"JR00182446","PMB",4530
"Ae00039116","PMB",3323
"KL00039215","PMB",269
"TN00100650","PMB",2145
"AM00048268","PMB",496
"GH00252120","PMB",2733
"JR00151129","PMB",3265
"CC00039600","PMB",9734
"IM00039666","PMB",2524
"kr00092840","PMB",1970
"TL00039699","PMB",198
"MP00039864","PMB",2107
"MM00039886","PMB",4722
"TP00069927","PMB",1969
"CH00039996","PMB",704
"RR00024937","PMB",2108
"jw00329736","PMB",12895
"AH00090706","PMB",2106
"MA00040370","PMB",322
"dh00040403","PMB",448
"TS00333267","PMB",2142
"dg00040502","PMB",5435
"DO00239415","PMB",9189
"JL00040920","PMB",926
"aC00040931","PMB",1974
"SR00041250","PMB",413
"SS00075383","PMB",3943
"HS00115511","PMB",2104
"DS00041371","PMB",9154
"VM00312730","PMB",1691
"MB00041734","PMB",51
"DA00142043","PMB",2107
"MM00041910","PMB",333
"DG00262251","PMB",4242
"AB00162206","PMB",2326
"GP00238271","PMB",393
"BW00214126","PMB",23259
"KW00035695","PMB",5110
"AM00035211","PMB",3405
"GM00042669","PMB",47
"NK00146817","PMB",7279
"TP00043164","PMB",11824
"DC00043175","PMB",12379
"CB00043285","PMB",304
"PP00067045","PMB",9391
"db00218339","PMB",1360
"JH00326502","PMB",3399
"AF00160721","PMB",5479
"GD00159335","PMB",2108
"MB00057695","PMB",3015
"RM00293656","PMB",433
"lJ00016445","PMB",1366
"AC00209682","PMB",2107
"rr00044198","PMB",2817
"MC00180356","PMB",1183
"TS00044341","PMB",4970
"AH00044451","PMB",126
"LM00044605","PMB",1748
"JR00053460","PMB",5125
"JW00044770","PMB",3138
"SC00016412","PMB",1882
"LR00272250","PMB",1338
"jw00138963","PMB",1431
"MD00320122","PMB",3175
"TA00186351","PMB",2143
"PH00189277","PMB",2166
"SD00045683","PMB",1583
"JD00234520","PMB",3501
"MM00033792","PMB",88
"EM00046090","PMB",4216
"AB00335060","PMB",105
"IM00030470","PMB",6472
"ZJ00046409","PMB",3942
"jm00046453","PMB",7870
"DH00046618","PMB",6475
"AC00046750","PMB",10026
"SH00046816","PMB",3074
"KA00173580","PMB",6756
"SW00329483","PMB",1268
"CP00238788","PMB",1970
"IB00320815","PMB",4212
"GW00047289","PMB",7338
"DF00047300","PMB",4724
"SS00224037","PMB",4192
"PM00251757","PMB",2317
"VH00056023","PMB",1967
"DW00326535","PMB",3032
"PR00325776","PMB",3944
"SJ00047839","PMB",50
"wg00168641","PMB",1970
"DF00100199","PMB",5515
"SD00220242","PMB",4768
"CB00175934","PMB",2328
"MC00325798","PMB",2978
"RC00139942","PMB",3152
"PA00154407","PMB",2106
"SL00335896","PMB",4192
"ck00331914","PMB",1970
"DF00048554","PMB",24072
"LC00258731","PMB",6690
"JS00073986","PMB",5052
"MS00265254","PMB",2107
"PT00048862","PMB",484
"KC00076307","PMB",2104
"LM00097097","PMB",925
"MS00326293","PMB",3940
"JL00049324","PMB",2167
"PS00198209","PMB",4283
"MC00049764","PMB",1969
"SW00332266","PMB",5911
"SI00193127","PMB",1972
"SJ00099660","PMB",2106
"JH00214984","PMB",1140
"XS00238678","PMB",2104
"HP00306537","PMB",426
"TS00337645","PMB",824
"MS00276221","PMB",873
"RM00050270","PMB",3829
"ch00050292","PMB",4639
"AT00185614","PMB",94
"mc00050446","PMB",864
"RS00300718","PMB",401
"VC00050523","PMB",6395
"CS00050545","PMB",3435
"MC00118382","PMB",3950
"AH00141306","PMB",2107
"AV00109406","PMB",2145
"JR00051040","PMB",4566
"RP00051073","PMB",1059
"MW00182633","PMB",2106
"SF00333190","PMB",2105
"kt00051480","PMB",176
"jG00051601","PMB",296
"CN00309331","PMB",4062
"SD00051766","PMB",4276
"JV00051843","PMB",6300
"RH00174460","PMB",1251
"CC00255200","PMB",3937
"DJ00319066","PMB",986
"HW00052228","PMB",448
"MB00052811","PMB",1578
"RG00088847","PMB",868
"MS00190102","PMB",2219
"FP00060544","PMB",1540
"RC00145090","PMB",1972
"GR00308495","PMB",1971
"PG00043692","PMB",2878
"JC00031889","PMB",1346
"AJ00052998","PMB",445
"el00053031","PMB",9996
"AH00053053","PMB",133
"ML00213807","PMB",1286
"CB00337326","PMB",1968
"JB00326403","PMB",13337
"PW00053328","PMB",4000
"HF00053350","PMB",783
"MG00067265","PMB",2107
"NS00053856","PMB",7386
"PS00054010","PMB",980
"EW00054021","PMB",4472
"KL00255695","PMB",594
"SM00030536","PMB",6472
"AS00021175","PMB",437
"RJ00164208","PMB",2106
"PR00216282","PMB",2182
"MR00055275","PMB",2108
"CJ00326326","PMB",2549
"PJ00183843","PMB",2239
"RW00283800","PMB",9136
"MN00055429","PMB",450
"VK00261349","PMB",4387
"AB00321838","PMB",1969
"JR00120549","PMB",5294
"MG00055968","PMB",46
"CM00326051","PMB",2761
"MW00021813","PMB",1969
"ja00281897","PMB",897
"mg00011682","PMB",2107
"ht00111947","PMB",4263
"GP00056694","PMB",2421
"SS00056760","PMB",11599
"RB00045199","PMB",5902
"RC00323521","PMB",82
"MW00259754","PMB",592
"JW00322597","PMB",1772
"PS00057112","PMB",2037
"SS00057134","PMB",61
"GF00331958","PMB",1264
"RF00073524","PMB",4553
"wh00057354","PMB",11812
"XS00042570","PMB",2268
"JJ00107481","PMB",7310
"EH00023298","PMB",2144
"CS00140657","PMB",4195
"GS00057816","PMB",4145
"DD00058091","PMB",11050
"JC00091575","PMB",2688
"KC00329769","PMB",2752
"AN00325611","PMB",4423
"KS00089309","PMB",268
"JL00058443","PMB",2741
"JC00326524","PMB",7165
"SF00332882","PMB",2179
"MW00058663","PMB",2659
"EC00058674","PMB",2185
"TC00058839","PMB",2057
"SD00145893","PMB",2108
"GS00321827","PMB",2108
"PS00085041","PMB",3933
"AM00016522","PMB",816
"MC00059015","PMB",2106
"TD00204072","PMB",1436
"AC00333553","PMB",59
"DS00183271","PMB",4194
"CM00059312","PMB",6077
"JB00059433","PMB",2128
"PV00333168","PMB",393
"KN00187385","PMB",51416
"GB00208340","PMB",9845
"aB00060082","PMB",2345
"HS00155870","PMB",4222
"BS00319099","PMB",1139
"PH00201113","PMB",2145
"CG00254419","PMB",420
"KW00060720","PMB",4247
"JS00061105","PMB",15821
"JE00083193","PMB",16382
"KB00061413","PMB",4192
"Es00207141","PMB",29632
"LD00061875","PMB",709
"DD00061886","PMB",631
"TL00062161","PMB",2160
"MM00246719","PMB",7075
"AC00062568","PMB",5145
"JB00329560","PMB",4144
"GL00062656","PMB",200
"RM00029326","PMB",4195
"db00062997","PMB",118
"JS00063052","PMB",2102
"KG00152141","PMB",2106
"BK00284790","PMB",1969
"mw00063459","PMB",7119
"KA00053174","PMB",19290
"SW00327437","PMB",7862
"BT00052129","PMB",4319
"MG00063646","PMB",12384
"CN00017061","PMB",1531
"AF00068629","PMB",2105
"SH00064295","PMB",338
"PR00063976","PMB",849
"sm00014905","PMB",91625
"MH00171875","PMB",1969
"MP00212113","PMB",4344
"HU00064658","PMB",668
"BW00064757","PMB",8308
"KM00157157","PMB",1182
"YP00087472","PMB",4280
"rd00183931","PMB",2108
"ZS00064999","PMB",5491
"GM00065296","PMB",18006
"KP00152427","PMB",4217
"JP00065362","PMB",7628
"JL00065417","PMB",190
"DE00065593","PMB",1970
"TL00065802","PMB",6458
"GM00065967","PMB",53
"AH00197868","PMB",394
"JP00066121","PMB",388
"CW00130097","PMB",5896
"PM00034485","PMB",2096
"SP00066253","PMB",4359
"DT00334642","PMB",15793
"MP00066682","PMB",16905
"be00066770","PMB",1295
"LC00326238","PMB",8668
"AT00321519","PMB",4358
"hs00329538","PMB",6622
"BW00015697","PMB",3932
"IP00293425","PMB",3795
"RK00075845","PMB",3093
"bg00067309","PMB",18637
"JS00067441","PMB",163
"AC00067463","PMB",49
"KH00019041","PMB",4331
"KL00067628","PMB",3949
"AW00186846","PMB",1970
"AC00067694","PMB",1969
"AS00138193","PMB",106
"LG00033594","PMB",1088
"BS00143990","PMB",1970
"IN00068013","PMB",4372
"MC00208945","PMB",2165
"CB00068090","PMB",3313
"CL00012529","PMB",3028
"AC00068167","PMB",2144
"ED00068343","PMB",395
"BS00068365","PMB",3945
"LL00095194","PMB",2108
"PW00068464","PMB",7072
"GP00068519","PMB",42
"mm00019239","PMB",1560
"MG00193512","PMB",2105
"JL00081477","PMB",873
"jb00068893","PMB",15957
"BD00054835","PMB",947
"PN00108735","PMB",590
"DW00318989","PMB",1313
"mb00199232","PMB",2136
"LH00215886","PMB",1279
"NP00165242","PMB",2529
"BM00023826","PMB",1970
"JD00069575","PMB",4358
"AC00069586","PMB",2461
"YL00334114","PMB",1967
"KT00069674","PMB",2527
"EV00069762","PMB",44
"MW00069850","PMB",2584
"AA00089199","PMB",19956
"PB00017864","PMB",986
"ML00215655","PMB",4258
"DC00208263","PMB",6316
"HP00177155","PMB",2107
"OF00070037","PMB",422
"KB00070092","PMB",2010
"pj00070114","PMB",6756
"AE00055594","PMB",11259
"JC00289707","PMB",12592
"DW00070499","PMB",3005
"FA00070543","PMB",11564
"DT00070565","PMB",1971
"MM00078859","PMB",5900
"SW00146652","PMB",2282
"JB00333674","PMB",197
"lt00017556","PMB",8477
"GH00158279","PMB",1398
"PZ00260018","PMB",2105
"EH00070884","PMB",2166
"MA00070906","PMB",3086
"EK00086757","PMB",2105
"SM00084117","PMB",4213
"RM00071016","PMB",8646
"JP00071071","PMB",48238
"JB00229196","PMB",13910
"DH00071214","PMB",968
"MF00071335","PMB",44
"NH00212553","PMB",2107
"MG00071500","PMB",11190
"WH00148324","PMB",1967
"BR00093610","PMB",1351
"MC00071753","PMB",6886
"bw00071775","PMB",1971
"DM00122144","PMB",952
"LB00268114","PMB",2177
"SB00052613","PMB",10659
"SB00072050","PMB",394
"DW00144991","PMB",9136
"TW00119768","PMB",2108
"GF00121330","PMB",7476
"hW00332783","PMB",1969
"CR00075350","PMB",840
"mm00331276","PMB",1970
"JD00072523","PMB",99
"RS00072787","PMB",5903
"MA00072941","PMB",1973
"RK00190267","PMB",2140
"CO00073029","PMB",488
"DS00271315","PMB",4387
"BW00073238","PMB",3560
"fg00210540","PMB",3533
"CK00069894","PMB",60
"AM00021329","PMB",1522
"pb00073568","PMB",5753
"KF00239613","PMB",2105
"bl00073689","PMB",19739
"JW00058399","PMB",1968
"IP00073755","PMB",9972
"WF00073799","PMB",1239
"HW00073832","PMB",587
"ST00073843","PMB",7449
"AH00084755","PMB",6406
"AB00073964","PMB",2178
"je00265694","PMB",4359
"LH00063371","PMB",1969
"MT00074228","PMB",15102
"DB00327756","PMB",4237
"CH00182820","PMB",2107
"RB00290565","PMB",2494
"RB00335368","PMB",3954
"JC00074569","PMB",356
"MS00074591","PMB",2813
"GW00165902","PMB",2106
"mw00087736","PMB",2169
"TS00146157","PMB",439
"dD00074976","PMB",2942
"JF00075075","PMB",2300
"MS00019294","PMB",7757
"JG00088231","PMB",4195
"TM00289443","PMB",2141
"BB00175945","PMB",2908
"GL00075339","PMB",987
"WS00150172","PMB",3944
"kt00160182","PMB",1969
"CH00229174","PMB",6080
"GH00333619","PMB",15777
"AW00075768","PMB",11269
"vB00196119","PMB",4192
"RR00217514","PMB",5665
"TH00196680","PMB",1971
"mA00018722","PMB",17771
"PW00193952","PMB",1259
"ad00204347","PMB",2106
"ce00076120","PMB",4695
"PB00076208","PMB",72
"RW00076219","PMB",1496
"JN00089573","PMB",1992
"SM00213290","PMB",2106
"BB00045991","PMB",495
"bn00076373","PMB",162
"AF00026466","PMB",413
"LS00076736","PMB",2022
"KL00185515","PMB",2105
"JA00320947","PMB",4519
"CW00332211","PMB",2177
"QL00334334","PMB",2104
"CM00323202","PMB",2755
"AL00076989","PMB",2182
"JA00334367","PMB",1283
"SB00077198","PMB",55
"sw00077418","PMB",2869
"EG00077440","PMB",1002
"DH00157245","PMB",2390
"SL00077737","PMB",138
"ND00147620","PMB",2106
"GW00318274","PMB",1574
"SS00175956","PMB",7883
"ZZ00120076","PMB",4789
"AH00078133","PMB",46616
"KH00078155","PMB",4306
"VS00078342","PMB",6724
"RT00332772","PMB",2110
"RN00078628","PMB",438
"CF00327965","PMB",4231
"DS00078672","PMB",3074
"DS00064867","PMB",2362
"MG00078749","PMB",900
"GB00220990","PMB",2145
"DR00078837","PMB",2061
"SL00096866","PMB",591
"SS00148511","PMB",2106
"PB00332827","PMB",2106
"SC00079354","PMB",131
"TB00030767","PMB",1972
"CG00145937","PMB",7924
"GC00141966","PMB",2106
"IM00056969","PMB",4727
"gp00143330","PMB",5412
"AD00140173","PMB",2109
"JA00043208","PMB",50
"Tb00150392","PMB",2108
"RK00080069","PMB",884
"SH00042460","PMB",11231
"JB00332519","PMB",1969
"KU00080311","PMB",6144
"EA00184096","PMB",1425
"JA00080553","PMB",536
"GC00332068","PMB",6367
"ar00070675","PMB",2700
"DM00080652","PMB",10893
"BM00288013","PMB",4393
"JS00025630","PMB",197
"BS00080850","PMB",2118
"SB00153648","PMB",2107
"JP00197208","PMB",2299
"TW00138061","PMB",2108
"PW00153516","PMB",432
"PW00282590","PMB",835
"km00298705","PMB",3706
"JR00309408","PMB",1994
"bc00071599","PMB",9808
"KH00081521","PMB",2371
"PO00081587","PMB",1334
"CD00081675","PMB",6164
"PH00101409","PMB",3647
"IM00082071","PMB",2107
"JW00082126","PMB",12689
"SI00082137","PMB",475
"KR00315436","PMB",13791
"SH00138391","PMB",1970
"GM00082346","PMB",7388
"SK00252164","PMB",4261
"cn00048092","PMB",2106
"GP00082577","PMB",1318
"BC00080245","PMB",7104
"MD00082731","PMB",8203
"AS00263186","PMB",88
"NH00088407","PMB",5271
"mc00083116","PMB",8094
"JG00071610","PMB",17853
"DB00329857","PMB",1267
"NJ00060533","PMB",4192
"SK00336633","PMB",4176
"AB00111265","PMB",1969
"JW00083292","PMB",6368
"kp00106403","PMB",1435
"CW00083490","PMB",309
"NP00093709","PMB",2105
"CH00066935","PMB",5923
"PB00083578","PMB",485
"DS00083644","PMB",2275
"JE00044781","PMB",4212
"EL00144111","PMB",2108
"CF00180730","PMB",1429
"LP00083974","PMB",227
"NB00084095","PMB",3940
"JC00153054","PMB",3729
"DS00084150","PMB",3604
"HP00084172","PMB",2145
"DP00332706","PMB",2106
"NS00066000","PMB",2144
"JM00084315","PMB",4397
"HT00084414","PMB",105
"AC00084722","PMB",3450
"LC00020383","PMB",2106
"AB00330088","PMB",2074
"JB00224026","PMB",3714
"PH00084821","PMB",2107
"CC00298309","PMB",15103
"SK00288486","PMB",243
"JW00330209","PMB",9477
"sH00243991","PMB",9013
"Tc00257873","PMB",2528
"PS00085239","PMB",2108
"DF00085250","PMB",819
"AF00329780","PMB",79
"DB00140360","PMB",2879
"PT00148445","PMB",2878
"NG00085569","PMB",2108
"LP00190861","PMB",1308
"JS00085712","PMB",2108
"AM00085756","PMB",2543
"JD00085822","PMB",1789
"MH00167453","PMB",2539
"LB00180290","PMB",6489
"CH00306768","PMB",2184
"ST00101772","PMB",2252
"LN00068684","PMB",2207
"LJ00086372","PMB",6589
"AP00194953","PMB",442
"RC00086515","PMB",99
"TS00029678","PMB",5905
"PN00086768","PMB",265
"DW00212201","PMB",1144
"PP00013541","PMB",8665
"RW00087043","PMB",390
"HC00333421","PMB",2105
"CA00087329","PMB",2658
"SH00087340","PMB",5512
"RB00118800","PMB",2563
"CC00137313","PMB",2106
"ac00338690","PMB",818
"DM00335841","PMB",4192
"GW00087571","PMB",134
"ci00203401","PMB",2134
"DK00152416","PMB",6037
"jD00234597","PMB",1970
"CD00302599","PMB",2196
"CK00114719","PMB",2047
"GR00087912","PMB",4075
"KP00321849","PMB",3008
"BG00048587","PMB",2108
"RC00028479","PMB",19937
"NB00203962","PMB",76
"RH00088539","PMB",4118
"KJ00088550","PMB",221
"JW00322619","PMB",10238
"GR00180961","PMB",2377
"SH00018480","PMB",2241
"MD00218713","PMB",1969
"JT00330143","PMB",108
"NH00301202","PMB",3938
"MW00089672","PMB",1970
"AP00199265","PMB",1740
"AT00326689","PMB",864
"MM00091190","PMB",6299
"MH00084799","PMB",10892
"RL00057442","PMB",88
"KS00089727","PMB",3968
"cb00089837","PMB",1969
"CM00089848","PMB",1969
"BH00319011","PMB",3939
"WR00089936","PMB",3418
"SL00180466","PMB",2107
"KJ00130724","PMB",10357
"CD00166375","PMB",2180
"DL00068618","PMB",4140
"WH00090442","PMB",4541
"JB00090519","PMB",6298
"DS00107019","PMB",3118
"GW00242517","PMB",6343
"PL00090739","PMB",6438
"rf00075746","PMB",898
"JP00176913","PMB",16219
"MS00090860","PMB",901
"JS00090871","PMB",3448
"MD00090904","PMB",2584
"DS00267069","PMB",3948
"JG00304975","PMB",4332
"HT00091267","PMB",13080
"NS00101211","PMB",2117
"DL00034573","PMB",109
"AH00244629","PMB",52
"WP00039413","PMB",3946
"FO00297693","PMB",2194
"EK00334059","PMB",2189
"MW00145079","PMB",2106
"RT00142978","PMB",1388
"SR00255068","PMB",2956
"KS00318604","PMB",4988
"CN00091982","PMB",16414
"SI00092147","PMB",2584
"JR00043824","PMB",1970
"ia00092389","PMB",43
"MH00092455","PMB",5906
"Es00138435","PMB",9179
"TB00338250","PMB",19671
"JK00318846","PMB",1097
"RC00029964","PMB",3945
"LS00155199","PMB",313
"MI00154814","PMB",3933
"MK00088506","PMB",2108
"JN00092906","PMB",3931
"SH00034782","PMB",5171
"PT00018744","PMB",5107
"SS00320848","PMB",5905
"AL00318285","PMB",5479
"RW00093060","PMB",7087
"KH00163977","PMB",5906
"AW00075240","PMB",8406
"SH00042394","PMB",5380
"CL00194865","PMB",1287
"MH00243738","PMB",5922
"ct00093588","PMB",99
"SH00163900","PMB",1970
"NH00106689","PMB",4158
"RH00093665","PMB",2107
"JW00093676","PMB",798
"AD00093698","PMB",6842
"AM00335621","PMB",4262
"HM00093731","PMB",234
"RA00101156","PMB",333
"JH00093808","PMB",2106
"AT00205821","PMB",2136
"DB00144573","PMB",11817
"RK00119229","PMB",4057
"MP00141955","PMB",2108
"JH00094171","PMB",14529
"PP00318835","PMB",7873
"IW00094347","PMB",1969
"dS00147345","PMB",3282
"Mw00146762","PMB",1970
"CR00094512","PMB",8791
"RG00199012","PMB",2175
"AS00211354","PMB",79
"CT00094776","PMB",17729
"MC00061215","PMB",17399
"PP00132825","PMB",1721
"GL00318527","PMB",1361
"CH00094919","PMB",1972
"ZF00333850","PMB",2105
"DM00328757","PMB",2963
"MN00095216","PMB",439
"PC00156376","PMB",2299
"DR00095249","PMB",2303
"CG00251691","PMB",6301
"WM00095315","PMB",2582
"CC00095359","PMB",12679
"SK00095392","PMB",16471
"cc00095502","PMB",2842
"PE00095645","PMB",16461
"HT00095700","PMB",20148
"TD00095788","PMB",4410
"HW00095799","PMB",1014
"GC00216964","PMB",2169
